entry_va,name,role_candidate,role_confidence,recovery_status,build_integration_status,module_id,ghidra_body_bytes,source_paths,warnings,undefined_type_occurrences,generated_globals,register_values,unresolved_indirect_calls,pseudocode_file
0x0040b070,"_Callable_base<bool_(__cdecl*const)(enum_Concurrency::agent_status_const&),0><bool_(__cdecl*const&)(enum_Concurrency::agent_status_const&)>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,35,,0,3,0,0,0,pseudocode/0040b070.c
0x0040b0a0,"_Compressed_pair<struct_std::default_delete<class_std::_Facet_base>,class_std::_Facet_base*,1><class_std::_Facet_base*&>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,35,,0,5,0,0,0,pseudocode/0040b0a0.c
0x0040b0d0,FUN_0040b0d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,21,,0,2,0,0,0,pseudocode/0040b0d0.c
0x0040b0f0,"FID_conflict:_Unique_ptr_base<class_std::_Facet_base,struct_std::default_delete<class_std::_Facet_base>_><class_std::_Facet_base*>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,42,,0,1,0,0,0,pseudocode/0040b0f0.c
0x0040b120,FUN_0040b120,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,16,,0,2,0,0,0,pseudocode/0040b120.c
0x0040b130,FUN_0040b130,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,88,,0,5,0,0,0,pseudocode/0040b130.c
0x0040b190,FUN_0040b190,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,60,,0,2,0,0,0,pseudocode/0040b190.c
0x0040b1d0,FUN_0040b1d0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,176,,0,9,2,1,0,pseudocode/0040b1d0.c
0x0040b280,move<>,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,8,,0,2,0,0,0,pseudocode/0040b280.c
0x0040b290,FUN_0040b290,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,11,,0,2,0,0,0,pseudocode/0040b290.c
0x0040b2a0,FUN_0040b2a0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,10,,0,2,0,0,0,pseudocode/0040b2a0.c
0x0040b2b0,FUN_0040b2b0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,85,,0,3,0,0,0,pseudocode/0040b2b0.c
0x0040b310,FUN_0040b310,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,188,,0,8,1,1,0,pseudocode/0040b310.c
0x0040b3e0,FUN_0040b3e0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,236,,1,8,1,1,0,pseudocode/0040b3e0.c
0x0040b4d0,"exchange<class_std::_Facet_base*,class_std::_Facet_base*>",possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,29,,0,0,0,0,0,pseudocode/0040b4d0.c
