Name                  Size   Stored
se_kira02.wav        25782    25782
se_timeout.wav       19390    19390
se_graze.wav          4542     4542
se_powerup.wav      367106   367106
se_pause.wav        133676   133676
se_cardget.wav      222864   222864
se_damage01.wav      27028    27028
se_timeout2.wav      19388    19388
se_invalid.wav       62950    62950
se_slash.wav         54782    54782
se_ch00.wav          87564    87564
se_ch01.wav          60286    60286
se_extend.wav        70188    64222
se_cardget.wav      222864   222864
se_nep00.wav        224926   224926
se_bonus.wav         45336    45336
se_bonus2.wav        45336    45336
se_enep02.wav       232708   232708
se_lazer02.wav       17768    17768
se_nodamage.wav      13358    13358
se_boon00.wav        35408    35408
se_don00.wav        142782   142782
se_boon01.wav       142782   142782
se_ch02.wav          44314    44314
se_ch03.wav          26590    26590
se_extend2.wav       27674    18031
se_pin00.wav         35410    35410
se_pin01.wav        125670   125670
se_lgods1.wav        83320    83320
se_lgods2.wav        62420    62420
se_lgods3.wav        41870    41870
se_lgods4.wav        31602    31602
se_lgodsget.wav      44300    44300
se_msl.wav            3258     2828
se_msl2.wav          93220    93220
se_pldead01.wav     150900   150900
se_heal.wav          42480    42480
se_msl3.wav          78360    78360
se_fault.wav        405156   343413
se_noise.wav         66270    66270
se_etbreak.wav       10810    10810
se_tan03.wav         88938    88938
se_wolf.wav         447106   447106
se_bonus4.wav        45434    42713
se_big.wav          114858   114858
se_item01.wav        64874    60902
se_release.wav      352924   352924
se_changeitem.wav    44228    44228
se_trophy.wav       114052   114052
se_warpl.wav         88328    88328
se_warpr.wav         88328    88328
se_notice.wav       176570   176570
demo1.rpy             6353     6353
demo2.rpy             6712     6712
demo3.rpy             7421     7421
demo4.rpy             5973     5973
thbgm.fmt             1005      466
th20_0100a.ver         242      242
